N°;Nombre_comercial;Url_Imagnes;;;
44;Motorola Moto G04 128GB Azul;"https://tienda.movistar.com.co/media/catalog/product/cache/5ef02510d71dc93118619de4fb50cd05/m/o/motorola-g04azul01.jpg;https://tienda.movistar.com.co/media/catalog/product/cache/5ef02510d71dc93118619de4fb50cd05/m/o/motorola-g04azul02.jpg;https://tienda.movistar.com.co/media/catalog/product/cache/5ef02510d71dc93118619de4fb50cd05/m/o/motorola-g04azul03.jpg";;;
45;Motorola Moto G24 Power 256GB Azul;"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaCO/72905948_1/w=1500,h=1500,fit=pad;https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaCO/72905948_5/w=1500,h=1500,fit=pad;https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaCO/72905948_7/w=1500,h=1500,fit=pad";;;
46;Motorola Moto G24 Power 256GB Gris;"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaCO/72905949_1/w=1500,h=1500,fit=pad;https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaCO/72905949_5/w=1500,h=1500,fit=pad;https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaCO/72905949_7/w=1500,h=1500,fit=pad";;;
47;Motorola Moto G04S 256GB Negro;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061788.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061788_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061788_3.jpg";;;
48;Motorola Moto G54 128GB Negro;"https://exitocol.vteximg.com.br/arquivos/ids/26808974/MOTOROLA-Moto-G54-128-GB-Negro-cargador-3435776_a.jpg?v=638750962329700000;https://exitocol.vteximg.com.br/arquivos/ids/26808977/MOTOROLA-Moto-G54-128-GB-Negro-cargador-3435776_d.jpg?v=638750962332130000;https://exitocol.vteximg.com.br/arquivos/ids/26808981/MOTOROLA-Moto-G54-128-GB-Negro-cargador-3435776_h.jpg?v=638750962336030000";;;
49;Motorola Moto G34 256GB Negro;"https://www.alkosto.com/medias/840023264795-001-750Wx750H?context=bWFzdGVyfGltYWdlc3wyMzAyNHxpbWFnZS93ZWJwfGFEWTRMMmcxWmk4eE5Ea3lOVFEyTnpZeE5USTJNaTg0TkRBd01qTXlOalEzT1RWZk1EQXhYemMxTUZkNE56VXdTQXxlYzcwN2ZmYTRjYmE2NDEyODEzMzIxOGJiYTkwOGZiNWI0YTRjY2ZmYTk5MDM4MWVlZWY4NTNkNjBkZjc2Mzgz;https://www.alkosto.com/medias/840023264795-008-750Wx750H?context=bWFzdGVyfGltYWdlc3wyNzMzNHxpbWFnZS93ZWJwfGFHSXhMMmd6WXk4eE5EVTFPVGd6TURJeE1qWXpPQzg0TkRBd01qTXlOalEzT1RWZk1EQTRYemMxTUZkNE56VXdTQXw0YWQ4YzMyNTI3Y2E2ZTdiMWJkOGRmODRhYTQyN2Y1NzMzNmU0MGZlMDk5YzNkOTgwMzE0N2JlZjI5NzljODJh;https://www.alkosto.com/medias/840023264795-011-750Wx750H?context=bWFzdGVyfGltYWdlc3wyNTU2MnxpbWFnZS93ZWJwfGFHTXpMMmcwTlM4eE5EVTFPVGd6TVRrNE1qRXhNQzg0TkRBd01qTXlOalEzT1RWZk1ERXhYemMxTUZkNE56VXdTQXwxYTk5MTJkYjBjZGQzYzIxNzc3Y2VmN2Y4NWI0YTI0ZjFhNjk2ODFmZDRhYzliMjdiNWRmY2YwNzQzN2Q1YmE1";;;
50;Motorola Moto G34 256GB Verde;"https://www.alkosto.com/medias/840023264849-001-750Wx750H?context=bWFzdGVyfGltYWdlc3wyMjg5MnxpbWFnZS93ZWJwfGFEVmxMMmd3TXk4eE5Ea3lOVFEyT0RJd05UQTROaTg0TkRBd01qTXlOalE0TkRsZk1EQXhYemMxTUZkNE56VXdTQXxjZmE2Nzc4MDY0NzhiMTY2MDc5NWFkZDYwNzRiYTM2NjFjNTI2ZDcxZGU2OWRhMmMzNTA2YjZkYzFlOWVkZGE3;https://www.alkosto.com/medias/840023264849-008-750Wx750H?context=bWFzdGVyfGltYWdlc3wyODM3MHxpbWFnZS93ZWJwfGFEaGlMMmhtTVM4eE5EVTFPVGd6TXpZeU1EVXhNQzg0TkRBd01qTXlOalE0TkRsZk1EQTRYemMxTUZkNE56VXdTQXwzYTYyODhmYzk2NWVjNTE5OWNmOTc1NTE4NWI2NGZhOWE0ZmE0MDc5MTJmMDE2NTZmYjA0YWVjMDgwNzA0NzIy;https://www.alkosto.com/medias/840023264849-011-750Wx750H?context=bWFzdGVyfGltYWdlc3wzNDU3NnxpbWFnZS93ZWJwfGFEZGxMMmd5Tnk4eE5EVTFPVGd6TlRNNE9UazRNaTg0TkRBd01qTXlOalE0TkRsZk1ERXhYemMxTUZkNE56VXdTQXxmNWM4MDVlZTljMTMzMDA1NGQ4ZGUxNWYwZmE0MGNhZWUxOTYyMGJjMDg2MDJlMGRiZTI4M2EyNWMwYjhkNTE0";;;
51;Motorola Moto G34 256GB Azul;"https://www.alkosto.com/medias/840023264870-001-750Wx750H?context=bWFzdGVyfGltYWdlc3wyMzI2MnxpbWFnZS93ZWJwfGFHRmxMMmd3WlM4eE5Ea3lOVFEyT0RjNU5Ea3hNQzg0TkRBd01qTXlOalE0TnpCZk1EQXhYemMxTUZkNE56VXdTQXw0YWM3ODdkMWI1YTg4YjQ5YzA4MWI2NzQyMjc2ZjdlNjMyNDM5NTgzNDZhNWNjNzdjZWY1ZWYyMWMyMzQxYTM4;https://www.alkosto.com/medias/840023264870-008-750Wx750H?context=bWFzdGVyfGltYWdlc3wyOTA3MHxpbWFnZS93ZWJwfGFHVTVMMmcwT0M4eE5EVTFPVGd6TmpVMk9UWXpNQzg0TkRBd01qTXlOalE0TnpCZk1EQTRYemMxTUZkNE56VXdTQXw3ODc3NzIwMDAwMjIxNWZjN2ExYWE1MWEwODllYTU5ZDBkYzE2MTIxNDU2NzFiZDU1MTI0Njc1ZTFiODQ3MjQ5;https://www.alkosto.com/medias/840023264870-011-750Wx750H?context=bWFzdGVyfGltYWdlc3wyNjU0MHxpbWFnZS93ZWJwfGFHRTFMMmhsWVM4eE5EVTFPVGd6T0RNek9URXdNaTg0TkRBd01qTXlOalE0TnpCZk1ERXhYemMxTUZkNE56VXdTQXw2MGRkNzM5YzE1Yjc5YmMwMWIyZTdlMzI1MDgxNWNkMzcyYmVlMjAxMDNmZjJhZDhiOTcxZTdhYmRmZGVhYzNj";;;
52;Motorola G34 256GB Negro + Parlante Z-1070;"https://www.alkosto.com/medias/840023264795-001-750Wx750H?context=bWFzdGVyfGltYWdlc3wyMzAyNHxpbWFnZS93ZWJwfGFEWTRMMmcxWmk4eE5Ea3lOVFEyTnpZeE5USTJNaTg0TkRBd01qTXlOalEzT1RWZk1EQXhYemMxTUZkNE56VXdTQXxlYzcwN2ZmYTRjYmE2NDEyODEzMzIxOGJiYTkwOGZiNWI0YTRjY2ZmYTk5MDM4MWVlZWY4NTNkNjBkZjc2Mzgz;https://www.alkosto.com/medias/840023264795-008-750Wx750H?context=bWFzdGVyfGltYWdlc3wyNzMzNHxpbWFnZS93ZWJwfGFHSXhMMmd6WXk4eE5EVTFPVGd6TURJeE1qWXpPQzg0TkRBd01qTXlOalEzT1RWZk1EQTRYemMxTUZkNE56VXdTQXw0YWQ4YzMyNTI3Y2E2ZTdiMWJkOGRmODRhYTQyN2Y1NzMzNmU0MGZlMDk5YzNkOTgwMzE0N2JlZjI5NzljODJh;https://www.alkosto.com/medias/840023264795-011-750Wx750H?context=bWFzdGVyfGltYWdlc3wyNTU2MnxpbWFnZS93ZWJwfGFHTXpMMmcwTlM4eE5EVTFPVGd6TVRrNE1qRXhNQzg0TkRBd01qTXlOalEzT1RWZk1ERXhYemMxTUZkNE56VXdTQXwxYTk5MTJkYjBjZGQzYzIxNzc3Y2VmN2Y4NWI0YTI0ZjFhNjk2ODFmZDRhYzliMjdiNWRmY2YwNzQzN2Q1YmE1;https://www.regaloscorporativos.com/wp-content/uploads/2019/08/Z-1070-S_1.jpg";;;
53;Motorola Moto G54 128GB Azul;"https://http2.mlstatic.com/D_NQ_NP_2X_865243-MCO77123850723_062024-F.webp;https://http2.mlstatic.com/D_NQ_NP_2X_967916-MCO76914856856_062024-F.webp;https://http2.mlstatic.com/D_NQ_NP_2X_645670-MCO76914856848_062024-F.webp";;;
